Simulation time (in s): 1000
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 100
Percentage of mining power of adversary-1 (zeta1): 30
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Slow,Low CPU
5,Slow,Low CPU
6,Slow,Low CPU
7,Slow,Low CPU
8,Fast,Low CPU
9,Slow,Low CPU
10,Slow,Low CPU
11,Slow,Low CPU
12,Fast,Low CPU
13,Slow,Low CPU
14,Fast,Low CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Fast,Low CPU
18,Slow,Low CPU
19,Fast,Low CPU
20,Fast,Low CPU
21,Slow,Low CPU
22,Slow,Low CPU
23,Fast,Low CPU
24,Fast,Low CPU
25,Slow,Low CPU
26,Slow,Low CPU
27,Slow,Low CPU
28,Fast,Low CPU
29,Fast,Low CPU
30,Fast,Low CPU
31,Slow,Low CPU
32,Fast,Low CPU
33,Slow,Low CPU
34,Slow,Low CPU
35,Fast,Low CPU
36,Slow,Low CPU
37,Slow,Low CPU
38,Fast,Low CPU
39,Slow,Low CPU
40,Slow,Low CPU
41,Slow,Low CPU
42,Slow,Low CPU
43,Fast,Low CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Slow,Low CPU
47,Slow,Low CPU
48,Slow,Low CPU
49,Fast,Low CPU
50,Slow,Low CPU
51,Fast,Low CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Slow,Low CPU
55,Fast,Low CPU
56,Slow,Low CPU
57,Slow,Low CPU
58,Slow,Low CPU
59,Fast,Low CPU
60,Fast,Low CPU
61,Fast,Low CPU
62,Fast,Low CPU
63,Fast,Low CPU
64,Fast,Low CPU
65,Fast,Low CPU
66,Slow,Low CPU
67,Slow,Low CPU
68,Slow,Low CPU
69,Slow,Low CPU
70,Fast,Low CPU
71,Fast,Low CPU
72,Fast,Low CPU
73,Fast,Low CPU
74,Slow,Low CPU
75,Slow,Low CPU
76,Slow,Low CPU
77,Slow,Low CPU
78,Slow,Low CPU
79,Fast,Low CPU
80,Fast,Low CPU
81,Slow,Low CPU
82,Slow,Low CPU
83,Fast,Low CPU
84,Fast,Low CPU
85,Fast,Low CPU
86,Fast,Low CPU
87,Fast,Low CPU
88,Slow,Low CPU
89,Slow,Low CPU
90,Fast,Low CPU
91,Slow,Low CPU
92,Fast,Low CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Slow,Low CPU
96,Slow,Low CPU
97,Slow,Low CPU
98,Fast,Low CPU
99,Slow,Low CPU
100,Slow,Low CPU
