BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
b8298e6672ceef7ba54b40b578115c97b6436ff1308487d2ebfa153e479ede13,0,NULL,0,0,0,0
6823bf2559c16650562ef9455e4882043be38e116edab485324dd2ceb2cac13d,1703.2515641123669,b8298e6672ceef7ba54b40b578115c97b6436ff1308487d2ebfa153e479ede13,1,0,2,0
b90b6054e87c7b3f78c49a0adaa3c0d87be358813e64b8053dbd6dd8e4471c8b,1981.8441400786073,b8298e6672ceef7ba54b40b578115c97b6436ff1308487d2ebfa153e479ede13,24,1,1,0
1326835f215565648c5b575c2bc3d6e63b57fc368100ace7b89434787da4750a,25143.117479127508,b90b6054e87c7b3f78c49a0adaa3c0d87be358813e64b8053dbd6dd8e4471c8b,97,1,1,0
58b1c679c1876558edc0c7ac7784b134d184383a1f9f5a651df8b0ce22fb968f,25822.237826667075,b90b6054e87c7b3f78c49a0adaa3c0d87be358813e64b8053dbd6dd8e4471c8b,2,0,3,0
1a56d3f08c3830a9eb930a3f6fde46e5a2dbc94ab69ac8e6a01b12bc0d3b0204,25822.237826667075,58b1c679c1876558edc0c7ac7784b134d184383a1f9f5a651df8b0ce22fb968f,2,0,3,0
d781873046f40112568b4b0986aa84cf8fa7d5f767f575d19606141338f61b33,33010.77152414295,1a56d3f08c3830a9eb930a3f6fde46e5a2dbc94ab69ac8e6a01b12bc0d3b0204,49,0,1,0
9239a6e79f76dd94fd9df80a4aad858240757e7647a49e208096023208dd595b,33501.964827434495,1a56d3f08c3830a9eb930a3f6fde46e5a2dbc94ab69ac8e6a01b12bc0d3b0204,2,0,3,0
5b688327d20ca01db2cf464c7aaed5cc35f436356177bfd3a3fde4e43980ff8e,33502.59116163412,9239a6e79f76dd94fd9df80a4aad858240757e7647a49e208096023208dd595b,2,0,3,0
2a4e629ad0c486f9ee87f235f4cfea59e375da31958e57417e9b0dc2c7deeeae,45230.70532490551,5b688327d20ca01db2cf464c7aaed5cc35f436356177bfd3a3fde4e43980ff8e,36,1,1,0
494f74fbed3b92cd1375f3c7b2a6e6e7ed07a60789d37327e701f37521a59252,45657.027243376564,5b688327d20ca01db2cf464c7aaed5cc35f436356177bfd3a3fde4e43980ff8e,2,0,3,0
60cb6b8991877bb1021dee12e6b6a0fb7783d84f614e092a5377a5dab31f4ad7,52963.873069989044,494f74fbed3b92cd1375f3c7b2a6e6e7ed07a60789d37327e701f37521a59252,2,0,3,0
928fb9d7b61333c293d81f7c6ad5f7ac225af993fb27514090360b0ea66d657d,67031.65911107896,60cb6b8991877bb1021dee12e6b6a0fb7783d84f614e092a5377a5dab31f4ad7,28,1,1,0
3263b7f98d774d582bfbfad3249fe732c2e23722e8597c4baa3a002ac3b62636,67525.37492501993,60cb6b8991877bb1021dee12e6b6a0fb7783d84f614e092a5377a5dab31f4ad7,2,0,3,0
073b93b339c46e0639d916ab08f18eec5952e6664a299d6d5209ebf4d3e06f85,68701.67067846107,928fb9d7b61333c293d81f7c6ad5f7ac225af993fb27514090360b0ea66d657d,40,0,1,0
d842a3ca3054a16dd954ebdab8067242926773190bd1f840d97e37e929041047,69906.14604927052,073b93b339c46e0639d916ab08f18eec5952e6664a299d6d5209ebf4d3e06f85,44,1,1,0
fa9b5c8ddfcea75fa4b641d50aaa0548802722a01039fec1615dc370824845a6,84185.00925169287,d842a3ca3054a16dd954ebdab8067242926773190bd1f840d97e37e929041047,1,0,2,0
3e9fe583ce748c8bd0fa8acb873afef63f0c693665efcd0988da37140bb8be96,91768.71631689672,d842a3ca3054a16dd954ebdab8067242926773190bd1f840d97e37e929041047,43,1,1,0
c8cd188cc57f1894f046ab737d4f80a6e7451008dd705ed880534aeabe5d7d84,92466.83046237589,d842a3ca3054a16dd954ebdab8067242926773190bd1f840d97e37e929041047,2,0,3,0
9ea242c92406c043f9107069811e5835c6a63339b13e9afb7d650328b6d2e647,92824.62446738424,d842a3ca3054a16dd954ebdab8067242926773190bd1f840d97e37e929041047,83,0,1,0
fdd2fd88c7f77fb5a720c680e30b5e3b0d294d7ac63efad248dbcd2370a10ebf,99614.43742621534,c8cd188cc57f1894f046ab737d4f80a6e7451008dd705ed880534aeabe5d7d84,2,0,3,0
697c6d701d565a0d0973b229254ad8c6a361f4a6fdbb81cffaeded1e81493d7d,104127.96041205077,fdd2fd88c7f77fb5a720c680e30b5e3b0d294d7ac63efad248dbcd2370a10ebf,1,0,2,0
824c606992a1285e773a47f6859bf45161f2167f036ead236ceb2af6951b6cd0,114319.40628034239,fdd2fd88c7f77fb5a720c680e30b5e3b0d294d7ac63efad248dbcd2370a10ebf,78,1,1,0
