BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,0,NULL,0,0,0,0
65c76ca6347d5916e57a771dcc24e32d3be31ab47f99761c8fc00962d689cfa5,24494.68252523678,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,1,0,2,0
b0462d5d0029b859f98682259a7a289fe0de2ca5574c90469ec16847bdd5dad4,33839.360909313335,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,72,1,1,0
24c2acd6ae026b0c308f72d33abfa2d25a927f28ec65f19a93894964483b94da,34581.20835259704,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,2,0,3,0
387279410d6c7c17cd4ca6707c96d27c3d71b1b10115384cd87e5c5ce74a5604,31443.512270720963,65c76ca6347d5916e57a771dcc24e32d3be31ab47f99761c8fc00962d689cfa5,1,0,2,0
b01bb70d79ff6737adf375667b77fcaf99f14b7b5f18fa7a46b4a48942c784bf,35461.354694639864,24c2acd6ae026b0c308f72d33abfa2d25a927f28ec65f19a93894964483b94da,2,0,3,0
0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,35498.20086379256,b01bb70d79ff6737adf375667b77fcaf99f14b7b5f18fa7a46b4a48942c784bf,2,0,3,0
1792d4484fae47282cecf4059b2b0ec1501f27151a1b94b1972b28e939cde97a,35577.15009091085,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,1,0,2,0
9c14cdbceaa979609196be1d8f371b6142b9df6b77bb5761b579169c867ffa40,153281.8530358984,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,100,1,1,0
c80b37c0411ef0e3df3014c790b0751b7e03cc923ee68530c66feb7f7cca4598,154538.29664019027,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,2,0,3,0
c0bd5fbabfc0151a6d9293708f7c5c9edef2770ad2f89ef20977113a19683b47,51248.154106659305,1792d4484fae47282cecf4059b2b0ec1501f27151a1b94b1972b28e939cde97a,1,0,2,0
f813919a9bb4b2f99f52364e24374b9ed623c40a2b0f46aa2aad860087e4e6ef,194344.93786850656,9c14cdbceaa979609196be1d8f371b6142b9df6b77bb5761b579169c867ffa40,79,0,1,0
b9d1798a9f250d078b781ef650db9903c175a67714ae9f89fd1043f83df41f91,194890.49423360967,c80b37c0411ef0e3df3014c790b0751b7e03cc923ee68530c66feb7f7cca4598,2,0,3,0
c0b386be552e47b331f85cedcdca161aa712fe3bcdcb6e6c82cc9fe6282eec22,58319.56961368869,c0bd5fbabfc0151a6d9293708f7c5c9edef2770ad2f89ef20977113a19683b47,1,0,2,0
bbe10efae9a8701bf26296f46df967c43b232aba19f7cd9eb6d7d665e9f34437,213762.9653852989,f813919a9bb4b2f99f52364e24374b9ed623c40a2b0f46aa2aad860087e4e6ef,78,0,1,0
1e4e6880d5f3a4aef7d9f37d3b4228a801b59f1f6c72047529de0c002b1d29ce,214328.58885063007,b9d1798a9f250d078b781ef650db9903c175a67714ae9f89fd1043f83df41f91,2,0,3,0
50ad94431a2e5da3ae6e0f420854908ad8e949ac9ff3c04b406bbf5de63be965,58564.72536359597,c0b386be552e47b331f85cedcdca161aa712fe3bcdcb6e6c82cc9fe6282eec22,1,0,2,0
826f554ccf4c0d4460c71a8ad7cca852ea42a851ea1ec6ba2f9e982e51416895,246479.0177385891,bbe10efae9a8701bf26296f46df967c43b232aba19f7cd9eb6d7d665e9f34437,49,1,1,0
b70875e65ae1e0c1bc3d759dd0582977644d200e4d77a03b49425f7bc8a16104,247251.3929176444,1e4e6880d5f3a4aef7d9f37d3b4228a801b59f1f6c72047529de0c002b1d29ce,2,0,3,0
c3cc517fd0e672379b65ef90ddd69ad94b4e3d6d6213901561ff1713140072d9,60358.354052076866,50ad94431a2e5da3ae6e0f420854908ad8e949ac9ff3c04b406bbf5de63be965,1,0,2,0
e362c87ef98e7764bd8a6112c4eeb8cdf9fefab96a004aae01275f1d66d902e3,283348.1136561323,826f554ccf4c0d4460c71a8ad7cca852ea42a851ea1ec6ba2f9e982e51416895,76,1,1,0
bdb304ccd80552bee620752d981ce4e515d604284d4b424edc29ab6b8f3e3c29,283965.2329020693,b70875e65ae1e0c1bc3d759dd0582977644d200e4d77a03b49425f7bc8a16104,2,0,3,0
aa8f76481eb51fed4619c31479f5e227b64d6a32870357daa536b4592aa0db04,72800.3032246358,c3cc517fd0e672379b65ef90ddd69ad94b4e3d6d6213901561ff1713140072d9,1,0,2,0
5983a83dd005b4b06bbc328f1cc099cf29baba0fd53b136d208710f91a90a785,286323.6835750734,e362c87ef98e7764bd8a6112c4eeb8cdf9fefab96a004aae01275f1d66d902e3,64,1,1,0
856fa2464274cc3e983a4fe65810d83bb50038dea2eb3051166c0fb30a341cfb,287290.02175699174,bdb304ccd80552bee620752d981ce4e515d604284d4b424edc29ab6b8f3e3c29,2,0,3,0
