BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,0,NULL,0,0,0,0
b0462d5d0029b859f98682259a7a289fe0de2ca5574c90469ec16847bdd5dad4,34159.37110630557,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,72,1,1,0
24c2acd6ae026b0c308f72d33abfa2d25a927f28ec65f19a93894964483b94da,34555.40952937664,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,2,0,3,0
65c76ca6347d5916e57a771dcc24e32d3be31ab47f99761c8fc00962d689cfa5,34830.141375784486,2166b3307978e1460a00ec2c3826e1786cbd9b3aa0c69e19a6548b321e9267da,1,0,2,0
b01bb70d79ff6737adf375667b77fcaf99f14b7b5f18fa7a46b4a48942c784bf,35394.0244542099,24c2acd6ae026b0c308f72d33abfa2d25a927f28ec65f19a93894964483b94da,2,0,3,0
387279410d6c7c17cd4ca6707c96d27c3d71b1b10115384cd87e5c5ce74a5604,34830.141375784486,65c76ca6347d5916e57a771dcc24e32d3be31ab47f99761c8fc00962d689cfa5,1,0,2,0
0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,35394.0244542099,b01bb70d79ff6737adf375667b77fcaf99f14b7b5f18fa7a46b4a48942c784bf,2,0,3,0
9c14cdbceaa979609196be1d8f371b6142b9df6b77bb5761b579169c867ffa40,153625.74080031778,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,100,1,1,0
1792d4484fae47282cecf4059b2b0ec1501f27151a1b94b1972b28e939cde97a,154253.44638412134,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,1,0,2,0
c80b37c0411ef0e3df3014c790b0751b7e03cc923ee68530c66feb7f7cca4598,154469.92322405614,0b81325ba15bd3a031a78cdd992e6ac5d123e3ad5dda4050f69b148d2160fa03,2,0,3,0
f813919a9bb4b2f99f52364e24374b9ed623c40a2b0f46aa2aad860087e4e6ef,194063.83687653183,9c14cdbceaa979609196be1d8f371b6142b9df6b77bb5761b579169c867ffa40,79,0,1,0
c0bd5fbabfc0151a6d9293708f7c5c9edef2770ad2f89ef20977113a19683b47,195316.48579074032,1792d4484fae47282cecf4059b2b0ec1501f27151a1b94b1972b28e939cde97a,1,0,2,0
b9d1798a9f250d078b781ef650db9903c175a67714ae9f89fd1043f83df41f91,194782.5573062868,c80b37c0411ef0e3df3014c790b0751b7e03cc923ee68530c66feb7f7cca4598,2,0,3,0
bbe10efae9a8701bf26296f46df967c43b232aba19f7cd9eb6d7d665e9f34437,213615.19216699374,f813919a9bb4b2f99f52364e24374b9ed623c40a2b0f46aa2aad860087e4e6ef,78,0,1,0
c0b386be552e47b331f85cedcdca161aa712fe3bcdcb6e6c82cc9fe6282eec22,214726.93893668827,c0bd5fbabfc0151a6d9293708f7c5c9edef2770ad2f89ef20977113a19683b47,1,0,2,0
1e4e6880d5f3a4aef7d9f37d3b4228a801b59f1f6c72047529de0c002b1d29ce,214263.27913770074,b9d1798a9f250d078b781ef650db9903c175a67714ae9f89fd1043f83df41f91,2,0,3,0
826f554ccf4c0d4460c71a8ad7cca852ea42a851ea1ec6ba2f9e982e51416895,246854.75130158698,bbe10efae9a8701bf26296f46df967c43b232aba19f7cd9eb6d7d665e9f34437,49,1,1,0
50ad94431a2e5da3ae6e0f420854908ad8e949ac9ff3c04b406bbf5de63be965,247446.44226482234,c0b386be552e47b331f85cedcdca161aa712fe3bcdcb6e6c82cc9fe6282eec22,1,0,2,0
b70875e65ae1e0c1bc3d759dd0582977644d200e4d77a03b49425f7bc8a16104,247209.95232216176,1e4e6880d5f3a4aef7d9f37d3b4228a801b59f1f6c72047529de0c002b1d29ce,2,0,3,0
e362c87ef98e7764bd8a6112c4eeb8cdf9fefab96a004aae01275f1d66d902e3,282967.40683060646,826f554ccf4c0d4460c71a8ad7cca852ea42a851ea1ec6ba2f9e982e51416895,76,1,1,0
c3cc517fd0e672379b65ef90ddd69ad94b4e3d6d6213901561ff1713140072d9,284344.3871030044,50ad94431a2e5da3ae6e0f420854908ad8e949ac9ff3c04b406bbf5de63be965,1,0,2,0
bdb304ccd80552bee620752d981ce4e515d604284d4b424edc29ab6b8f3e3c29,283894.96067086287,b70875e65ae1e0c1bc3d759dd0582977644d200e4d77a03b49425f7bc8a16104,2,0,3,0
5983a83dd005b4b06bbc328f1cc099cf29baba0fd53b136d208710f91a90a785,286559.46273269574,e362c87ef98e7764bd8a6112c4eeb8cdf9fefab96a004aae01275f1d66d902e3,64,1,1,0
aa8f76481eb51fed4619c31479f5e227b64d6a32870357daa536b4592aa0db04,287360.06142201787,c3cc517fd0e672379b65ef90ddd69ad94b4e3d6d6213901561ff1713140072d9,1,0,2,0
856fa2464274cc3e983a4fe65810d83bb50038dea2eb3051166c0fb30a341cfb,287260.53188836883,bdb304ccd80552bee620752d981ce4e515d604284d4b424edc29ab6b8f3e3c29,2,0,3,0
d16d0f4fbac3f34917dec3fc7f2b6587623facc0524e7e2febdf6d6b37a6bd1f,291999.99639559956,5983a83dd005b4b06bbc328f1cc099cf29baba0fd53b136d208710f91a90a785,83,1,1,0
ce93fa6a019cfc920400e0868d9ba18d042ce4ec653ed56c40200d63a0ef4d2e,293027.90586896444,aa8f76481eb51fed4619c31479f5e227b64d6a32870357daa536b4592aa0db04,1,0,2,0
6d855e01a74c5765c669d4dda309bc4acecd4012d805156b9a9a2105457e5936,292596.73161435174,856fa2464274cc3e983a4fe65810d83bb50038dea2eb3051166c0fb30a341cfb,2,0,3,0
24d80b1db4ba26f7218ee5c385d51b2e5ab5a329b6e14900881d353557b553ec,332241.90786749334,d16d0f4fbac3f34917dec3fc7f2b6587623facc0524e7e2febdf6d6b37a6bd1f,82,0,1,0
5939c2afedd2ded64389f3004d1b54aac4a3d56a8c840ebcc1d68e6421d42039,333058.2499852117,ce93fa6a019cfc920400e0868d9ba18d042ce4ec653ed56c40200d63a0ef4d2e,1,0,2,0
f82e0beda2ab90522f9e1046adf4a1517e6d14c004bab48d6a37e476a133176c,332934.97295123525,6d855e01a74c5765c669d4dda309bc4acecd4012d805156b9a9a2105457e5936,2,0,3,0
