Simulation time (in s): 1000
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 100
Percentage of mining power of adversary-1 (zeta1): 50
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,Low CPU
4,Slow,Low CPU
5,Fast,Low CPU
6,Slow,Low CPU
7,Fast,Low CPU
8,Slow,Low CPU
9,Slow,Low CPU
10,Fast,Low CPU
11,Fast,Low CPU
12,Fast,Low CPU
13,Fast,Low CPU
14,Fast,Low CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Slow,Low CPU
18,Fast,Low CPU
19,Fast,Low CPU
20,Slow,Low CPU
21,Fast,Low CPU
22,Slow,Low CPU
23,Fast,Low CPU
24,Slow,Low CPU
25,Slow,Low CPU
26,Fast,Low CPU
27,Fast,Low CPU
28,Fast,Low CPU
29,Fast,Low CPU
30,Slow,Low CPU
31,Fast,Low CPU
32,Fast,Low CPU
33,Fast,Low CPU
34,Fast,Low CPU
35,Slow,Low CPU
36,Slow,Low CPU
37,Slow,Low CPU
38,Fast,Low CPU
39,Fast,Low CPU
40,Slow,Low CPU
41,Fast,Low CPU
42,Fast,Low CPU
43,Fast,Low CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Fast,Low CPU
47,Slow,Low CPU
48,Fast,Low CPU
49,Slow,Low CPU
50,Slow,Low CPU
51,Fast,Low CPU
52,Fast,Low CPU
53,Slow,Low CPU
54,Fast,Low CPU
55,Fast,Low CPU
56,Slow,Low CPU
57,Fast,Low CPU
58,Slow,Low CPU
59,Slow,Low CPU
60,Fast,Low CPU
61,Fast,Low CPU
62,Fast,Low CPU
63,Fast,Low CPU
64,Fast,Low CPU
65,Slow,Low CPU
66,Fast,Low CPU
67,Fast,Low CPU
68,Fast,Low CPU
69,Fast,Low CPU
70,Slow,Low CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Slow,Low CPU
76,Slow,Low CPU
77,Slow,Low CPU
78,Slow,Low CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Slow,Low CPU
83,Slow,Low CPU
84,Slow,Low CPU
85,Slow,Low CPU
86,Slow,Low CPU
87,Fast,Low CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Slow,Low CPU
91,Slow,Low CPU
92,Fast,Low CPU
93,Slow,Low CPU
94,Slow,Low CPU
95,Fast,Low CPU
96,Slow,Low CPU
97,Fast,Low CPU
98,Slow,Low CPU
99,Fast,Low CPU
100,Slow,Low CPU
